interest_category_id,interest_category_name,level,placements,special_industries,sub_category_ids
25993001,Mobile,3,,,
25993002,PC,3,,,25993002001
25996001,2D,3,,,
25996002,3D,3,,,
25998001,Asian Cultural,3,,,25998001001
25998002,Asian Fantasy,3,,,25998002001
25998003,Asian History,3,,,"25998003001,25998003002,25998003003"
25998005,Cover Fire,3,,,
25998006,Detective,3,,,
25998007,Fantasy,3,,,
25998008,Games for Women,3,,,
25998009,Home Design,3,,,
25998010,Horror,3,,,
25998011,Idol Raising,3,,,
25998012,Lifestyle,3,,,"25998012001,25998012002,25998012003"
25998013,Mob/Crime Games,3,,,
25998014,Palace,3,,,
25998015,Sci-Fi,3,,,
25998016,Sniper Games,3,,,
25998017,Space,3,,,
25998018,Sports,3,,,"25998018001,25998018002,25998018003,25998018004,25998018005,25998018006,25998018007,25998018008,25998018009,25998018010,25998018011,25998018012,25998018013,25998018014,25998018015,25998018016,25998018017,25998018018,25998018019"
25998019,War Games,3,,,25998019001.26000000000
25998020,Western Fantasy,3,,,25998020001
25998021,Western Historical,3,,,25998021001.26000000000
25999001,Hyper-Casual,3,,,"25999001001,25999001002,25999001003,25999001004,25999001005,25999001006,25999001007,25999001008,25999001009,25999001010,25999001011"
25999002,Action,3,,,"25999002001,25999002002,25999002003,25999002004,25999002005,25999002006,25999002007,25999002008,25999002009,25999002010,25999002011,25999002012,25999002013,25999002014,25999002015,25999002016,25999002017"
25999003,Casino,3,,,"25999003001,25999003002,25999003003,25999003004,25999003005,25999003006,25999003007,25999003008,25999003009,25999003010,25999003011,25999003012,25999003013"
25999004,Match,3,,,"25999004001,25999004002,25999004003,25999004004,25999004005,25999004006,25999004007,25999004008,25999004009,25999004010"
25999005,Puzzle,3,,,"25999005001,25999005002,25999005003,25999005004,25999005005,25999005006,25999005007,25999005008,25999005009,25999005010,25999005011,25999005012,25999005013,25999005014,25999005015,25999005016,25999005017,25999005018"
25999006,Racing,3,,,"25999006001,25999006002,25999006003"
25999007,RPG,3,,,"25999007001,25999007002,25999007003,25999007004,25999007005,25999007006,25999007007,25999007008,25999007009,25999007010,25999007011,25999007012,25999007013"
25999008,Shooting Games,3,,,"25999008001,25999008002,25999008003,25999008004,25999008005"
25999009,Simulation,3,,,"25999009001,25999009002,25999009003,25999009004,25999009005,25999009006,25999009007,25999009008,25999009009,25999009010,25999009011,25999009012,25999009013,25999009014,25999009015,25999009016,25999009017,25999009018"
25999010,Sports,3,,,"25999010001,25999010002,25999010003,25999010004"
25999011,Strategy,3,,,"25999011001,25999011002,25999011003,25999011004,25999011005,25999011006,25999011007,25999011008,25999011009,25999011010"
25999012,Party,3,,,"25999012001,25999012002,25999012003,25999012004,25999012005,25999012006,25999012007,25999012008,25999012009,25999012010"
25999013,Tabletop,3,,,"25999013001,25999013002,25999013003,25999013004,25999013005,25999013006,25999013007,25999013008,25999013009,25999013010,25999013011"
25999014,Kids Games,3,,,25999014001.26000000000
25999015,Other,3,,,25999015001
26100101,Local Photography,3,,,
26104100,Gifts,3,,"HOUSING,EMPLOYMENT,CREDIT",
26104101,Flower Delivery,3,,,
26105101,House Cleaning Services,3,,"HOUSING,EMPLOYMENT,CREDIT",
26105104,Home Moving Services,3,,,
26105107,Home Repair,3,,,
26106100,Shopping Malls,3,,,
26106101,Supermarkets,3,,,
26112101,Household Appliances Cleaning & Repair,3,,"HOUSING,EMPLOYMENT,CREDIT",
27100103,Fast Food,3,,"HOUSING,EMPLOYMENT,CREDIT",
27100106,Desserts,3,,"HOUSING,EMPLOYMENT,CREDIT",
27100111,Japanese Cuisine,3,,"HOUSING,EMPLOYMENT,CREDIT",
27100114,Chinese Cuisine,3,,,
27100122,Middle Eastern Cuisine,3,,"HOUSING,EMPLOYMENT,CREDIT",
27101100,Seafood,3,,,
27101102,Vegetables,3,,"HOUSING,EMPLOYMENT,CREDIT",
27101103,"Poultry, Eggs & Meat",3,,"HOUSING,EMPLOYMENT,CREDIT",
27101104,Frozen Food,3,,"HOUSING,EMPLOYMENT,CREDIT",
27101106,Instant Food,3,,"HOUSING,EMPLOYMENT,CREDIT",
27101107,"Rice, Wheat, Cooking Oil, Spices & Seasonings",3,,"HOUSING,EMPLOYMENT,CREDIT",
27102100,Instant Drinks,3,,"HOUSING,EMPLOYMENT,CREDIT",
27102101,Dairy Products,3,,,
27102102,Tea,3,,,
27102103,Water,3,,"HOUSING,EMPLOYMENT,CREDIT",
27102104,Juice,3,,,
27102105,Coffee,3,,,
28101100,Fitness Training Supplies,3,,"HOUSING,EMPLOYMENT,CREDIT",
28101106,Golf,3,,"HOUSING,EMPLOYMENT,CREDIT",
28101107,Tennis,3,,"HOUSING,EMPLOYMENT,CREDIT",
28101111,Soccer,3,,"HOUSING,EMPLOYMENT,CREDIT",
28101114,"Chess, Cards & Mahjong",3,,,
28101115,Fishing,3,,,
28101116,Swimming,3,,,
28101117,Yoga & Dance,3,,,
28101123,Knee Protectors,3,,"HOUSING,EMPLOYMENT,CREDIT",
28101124,Sports Underwear,3,,,
14103100100,Body Cleansing,4,,,
14103100101,Skin Moisturizer,4,,"HOUSING,EMPLOYMENT,CREDIT",
14103100102,Scrubs & Body Exfoliation,4,,,
14103100103,Deodorants & Antiperspirants,4,,,
14103100104,Body Care Sets,4,,,
14103100105,Shaving & Body Hair Removal,4,,,
14103101100,Sunscreens,4,,"HOUSING,EMPLOYMENT,CREDIT",
14103101101,Toners,4,,,
14103101102,Face Lotions & Moisturizers,4,,,
14103101103,Facial Essence,4,,"HOUSING,EMPLOYMENT,CREDIT",
14103101104,Facial Cleansers & Make-up Remover,4,,,
14103101105,Facial Masks,4,,"HOUSING,EMPLOYMENT,CREDIT",
14103101106,Facial Care Sets,4,,,
14103101107,Beauty Tools,4,,"HOUSING,EMPLOYMENT,CREDIT",
14104100100,Foundation,4,,,
14104100101,Face Powders,4,,,
14104100102,Makeup Bases & Primers,4,,,
14104100103,"Blush, Highlighters & Contouring",4,,,
16105100100,Instant Cameras,4,,"HOUSING,EMPLOYMENT,CREDIT",
16105100101,Action Camera,4,,,
16105100102,Digital Cameras,4,,"HOUSING,EMPLOYMENT,CREDIT",
25100100100,ARPGs,4,,,
25100101100,Business Simulation Games,4,,,
25100101101,Care Simulation Games,4,,"HOUSING,EMPLOYMENT,CREDIT",
25100101102,Life Simulation Games,4,,"HOUSING,EMPLOYMENT,CREDIT",
25100102100,Turn-based Strategy Games,4,,,
25100102102,MOBAs,4,,,
25100102103,Tower Defense Games,4,,,
25100103100,First-person Shooter Games,4,,,
25100103101,Third-person Shooter Games,4,,,
25100103102,Air Combat Games,4,"PLACEMENT_TIKTOK,PLACEMENT_PANGLE",,
25100104100,Basketball,4,"PLACEMENT_TIKTOK,PLACEMENT_PANGLE",,
25100104102,Tennis,4,"PLACEMENT_TIKTOK,PLACEMENT_PANGLE",,
25100104103,Golf,4,,,
25100104104,Baseball,4,,,
25100104105,American Football,4,,,
25100104106,Other Ball Games,4,,,
25100104999,Other Sports Games,4,,,
25993002001,PC,4,,,
25998001001,Nijigen,4,,,
25998002001,Wuxia or Xian Xia,4,,,
25998003001,Chinese History,4,,,
25998003002,Three Kingdoms,4,,,
25998003003,Japanese History,4,,,
25998012001,Farming,4,,,
25998012002,Hunting,4,,,
25998012003,Romance,4,,,
25998018001,Football (American),4,,,
25998018002,Soccer,4,,,
25998018003,Baseball,4,,,
25998018004,Basketball,4,,,
25998018005,Pool or Billiards,4,,,
25998018006,Darts,4,,,
25998018007,Archery,4,,,
25998018008,Boxing,4,,,
25998018009,Fishing,4,,,
25998018010,Skateboarding,4,,,
25998018011,Snow Sports,4,,,
25998018012,Bowling,4,,,
25998018013,Motocross,4,,,
25998018014,Wrestling,4,,,
25998018015,Hockey,4,,,
25998018016,Golf,4,,,
25998018017,Tennis,4,,,
25998018018,Other Sport,4,,,
25998018019,Car,4,,,
25998019001,Modern Military Games,4,,,
25998019002,Maritime,4,,,
25998020001,Dystopian or Post-Apocalyptic,4,,,
25998021001,Medieval,4,,,
25998021002,Western American Games,4,,,
25999001001,.io,4,,,
25999001002,Action,4,,,
25999001003,Ball,4,,,
25999001004,Escape,4,,,
25999001005,Music,4,,,
25999001006,Other Hyper-Casual,4,,,
25999001007,Puzzle,4,,,
25999001008,Racing,4,,,
25999001009,Shooting Games,4,,,
25999001010,Simulation,4,,,
25999001011,Sports,4,,,
25999002001,Artillery Shooter Games,4,,,
25999002002,Asymmetric,4,,,
25999002003,Brawl Games,4,,,
25999002004,Fighting Games,4,,,
25999002005,MOBA,4,,,
25999002006,Music or Rhythm,4,,,
25999002007,Open World,4,,,
25999002008,Other Action,4,,,
25999002009,Platformer,4,,,
25999002010,Battle Royale,4,,,
25999002011,Run & Gun,4,,,
25999002012,Runner,4,,,
25999002013,Shark,4,,,
25999002014,Shoot'em Up Games,4,,,
25999002015,Slasher Games,4,,,
25999002016,Stealth,4,,,
25999002017,Adventure,4,,,
25999003001,Bingo,4,,,
25999003002,Chinese Card or Board,4,,,
25999003003,Claw Machine,4,,,
25999003004,Coin Pusher,4,,,
25999003005,Dominoes,4,,,
25999003006,Fishing,4,,,
25999003007,Lottery or Scratchers,4,,,
25999003008,Mahjong,4,,,
25999003009,Okey,4,,,
25999003010,Other Casino,4,,,
25999003011,Pachinko,4,,,
25999003012,Poker or Card,4,,,
25999003013,Slots,4,,,
25999004001,Blast-Meta,4,,,
25999004002,Blast-Saga,4,,,
25999004003,Bubble Shooter,4,,,
25999004004,Connect Tiles,4,,,
25999004005,Line-Saga,4,,,
25999004006,M3-Meta,4,,,
25999004007,M3-Saga,4,,,
25999004008,Merge-Saga,4,,,
25999004009,Other Match,4,,,
25999004010,Other-Meta,4,,,
25999005001,Block,4,,,
25999005002,Brain,4,,,
25999005003,Brick Breaker,4,,,
25999005004,Detective,4,,,
25999005005,Hidden Object,4,,,
25999005006,Hybrid,4,,,
25999005007,Jigsaw,4,,,
25999005008,Klotski,4,,,
25999005009,Maze,4,,,
25999005010,Minesweeper,4,,,
25999005011,Nonogram,4,,,
25999005012,Other Puzzle,4,,,
25999005013,Physics,4,,,
25999005014,Escape Room,4,,,
25999005015,Spot the Difference,4,,,
25999005016,Sudoku,4,,,
25999005017,Tile-Matching,4,,,
25999005018,Word,4,,,
25999006001,Arcade Racing,4,,,
25999006002,Competitive Racing,4,,,
25999006003,Simulation Racing,4,,,
25999007001,Action RPG,4,,,
25999007002,Empire Building RPG,4,,,
25999007003,Idle RPG,4,,,
25999007004,Location RPG,4,,,
25999007005,MMORPG,4,,,
25999007006,Open World RPG,4,,,
25999007007,Other RPG,4,,,
25999007008,Puzzle RPG,4,,,
25999007009,Roguelike ARPG,4,,,
25999007010,Survival,4,,,
25999007011,Tactics,4,,,
25999007012,Team Battle,4,,,
25999007013,Tower Defense RPG,4,,,
25999008001,Battle Royale,4,,,
25999008002,Cover Fire,4,,,
25999008003,PvE Shooting Games,4,,,
25999008004,Sniper Games,4,,,
25999008005,Team Deathmatch,4,,,
25999009001,Animal Avatar,4,,,
25999009002,Avatar Life,4,,,
25999009003,Breeding,4,,,
25999009004,Building,4,,,
25999009005,Sandbox,4,,,
25999009006,Dating,4,,,
25999009007,Dress Up & Lifestyle,4,,,
25999009008,Driving,4,,,
25999009009,Farming,4,,,
25999009010,Home Design,4,,,
25999009011,Idle,4,,,
25999009012,Idol Training,4,,,
25999009013,Interactive Story,4,,,
25999009014,Life Simulator,4,,,
25999009015,Manager,4,,,
25999009016,Other Simulation,4,,,
25999009017,Pet,4,,,
25999009018,Time Management,4,,,
25999010001,Arcade Sports,4,,,
25999010002,Other Sports,4,,,
25999010003,Simulation Sports,4,,,
25999010004,Team Manager,4,,,
25999011001,4X,4,,,
25999011002,Auto Chess,4,,,
25999011003,Build and Battle,4,,,
25999011004,CCG,4,,,
25999011005,Lane,4,,,
25999011006,Legion,4,,,
25999011007,Other Strategy,4,,,
25999011008,Summoning,4,,,
25999011009,Tower Defense,4,,,
25999011010,RTS,4,,,
25999012001,Guessing,4,,,
25999012002,Karaoke,4,,,
25999012003,Dance,4,,,
25999012004,Luck Battle,4,,,
25999012005,Mafia/Betrayal Games,4,,,
25999012006,Minigames,4,,,
25999012007,Other Party,4,,,
25999012008,Party Royale,4,,,
25999012009,Quiz,4,,,
25999012010,Truth or Dare,4,,,
25999013001,Board Game,4,,,
25999013002,Card Games,4,,,
25999013003,Chess,4,,,
25999013004,Coloring,4,,,
25999013005,Dice,4,,,
25999013006,Go-Stop,4,,,
25999013007,Hanafuda,4,,,
25999013008,Mahjong Solitaire,4,,,
25999013009,Othello,4,,,
25999013010,Other Tabletop,4,,,
25999013011,Solitaire,4,,,
25999014001,Educational Games,4,,,
25999014002,Other Kids Games,4,,,
25999015001,Other,4,,,
